Species,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,References
Mus_indutus,55,13,5,21.5,34.5,5.8,-21.02,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mus_mahomet,67,15,10,19.1,28.1,9.5,10.18,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mus_musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial,"Alhajeri et al, 2020, Nowak 1983, Hedrick et al 2020"
Mus_pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial,"Alhajeri et al, 2020"
Mus_setulosus,72,15,14,23.8,30.3,16.5,6.19,Forest,Terrestrial,"Alhajeri et al, 2020"
Mus_setzeri,54,14,7,22.2,34.7,6.4,-19.04,Savanna,Terrestrial,"Alhajeri et al, 2020"
Mus_shortridgei,108,21,35,22.7,30.4,13.1,19.12,Forest,Terrestrial,"Alhajeri et al, 2020"
Mus_spretus,140,16,14,15.3,29.2,1,37.07,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Mus_terricolor,68,15,8,25.8,37.9,12.1,22.06,Forest,Terrestrial,"Alhajeri et al, 2020"
Mus_vulcani,93,22,20,12.6,17.6,7.7,-7.12,Forest,Terrestrial,"Alhajeri et al, 2020"
Myomyscus_brockmani,104,21,30,23.7,31.1,15.2,3.73,Savanna,Terrestrial,"Alhajeri et al, 2020"
Myomyscus_verreauxii,94,22,27,16.7,28,4.5,-33.25,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Niviventer_cameroni,150,34,94,22.2,27.1,16.9,4.7,Forest,Scansorial,"Alhajeri et al, 2020"
Niviventer_coninga,172,34,142,20.8,29.2,11.3,23.74,Forest,Scansorial,"Alhajeri et al, 2020"
Niviventer_eha,118,31,38,7.1,19.9,-5.8,27.75,Forest,Scansorial,"Alhajeri et al, 2020"
Niviventer_hinpoon,140,26,60,25.2,31.9,16.6,14.37,Forest,Scansorial,"Alhajeri et al, 2020"
Niviventer_niviventer,137,30,62,18.7,28.9,7.1,26.9,Forest,Scansorial,"Alhajeri et al, 2020"
Niviventer_rapit,132,30,55,24.8,30.6,18.9,2.36,Forest,Scansorial,"Alhajeri et al, 2020"
Notomys_alexis,97,32,24,22.9,37.4,6.3,-25.02,Grassland,Terrestrial,"Alhajeri et al, 2020"
